#Name,Slot Level,Rarity,Acquire,Skill
Fire Attack,1,5,6,Fire Attack
Heroics,1,5,6,Heroics
Peak Performance,1,5,6,Peak Performance
Rising Tide,1,5,6,Rising Tide
Windproof,1,5,6,Windproof
Water Attack,1,5,6,Water Attack
Concentration,1,5,6,Concentration
Sleep Attack,1,5,6,Sleep Attack
Artful Dodger,1,5,6,Artful Dodger
Tremor Resistance,1,5,6,Tremor Resistance
Thunder Attack,1,5,6,Thunder Attack
Burst,1,5,6,Burst
Paralysis Attack,1,5,6,Paralysis Attack
Offensive Guard,1,5,6,Offensive Guard
Divine Blessing,1,5,6,Divine Blessing
Ice Attack,1,5,6,Ice Attack
Critical Eye,1,5,6,Critical Eye
Poison Attack,1,5,6,Poison Attack
Skyward Striker,1,5,6,Skyward Striker
Guard,1,5,6,Guard
Weakness Exploit,1,5,6,Weakness Exploit
Special Boost,1,5,6,Special Boost
Sneak Attack,1,5,6,Sneak Attack
Evade Extender,1,5,6,Evade Extender
Earplugs,1,5,6,Earplugs
Aggressive Dodger,1,5,6,Aggressive Dodger
Attack Boost,1,5,6,Attack Boost
Defense Boost,1,5,6,Defense Boost
Health Boost,1,5,6,Health Boost
Fortify,1,5,6,Fortify
Guts,1,5,6,Guts
Firm Foothold,1,5,6,Firm Foothold
Last Stand,1,5,6,Last Stand
Fire Resistance,1,5,6,Fire Resistance
Water Resistance,1,5,6,Water Resistance
Thunder Resistance,1,5,6,Thunder Resistance
Ice Resistance,1,5,6,Ice Resistance
Poison Resistance,1,5,6,Poison Resistance
Paralysis Resistance,1,5,6,Paralysis Resistance
Sleep Resistance,1,5,6,Sleep Resistance
Bleeding Resistance,1,5,6,Bleeding Resistance
Critical Boost,1,5,6,Critical Boost
Dragon Attack,1,5,6,Dragon Attack
